the
cover
depth
dude
english
film
generous
giving
homeworks
joke
optional
presentations
require
reviews
simple
understands
unorganized
word
youve
Bailey
Ben
Doesnt
Eichenberg
Had
Hell
Never
Such
THE
above
anecdotes
bring
clarity
coming
dense
exciting
focus
french
friends
frustrating
hear
home
involved
listening
load
names
plants
powerpoint
prior
sit
slightly
stupid
thinks
thorough
throughout
towards
Absolutely
American
Fair
Fantastic
Helpful
Hescott
History
LOT
Loves
People
Richards
Sommers
Tobin
Tough
ability
absolute
approach
asking
assigned
cared
close
constantly
crystal
deal
deeply
doubt
earth
easiest
focused
hot
lecturing
left
mean
movies
orgo
patient
presents
rewarding
sections
solid
success
tedious
voice
Fadi
On
Problem
They
Unfortunately
Yes
actual
advice
agree
allows
along
articulate
awkward
bored
brings
business
certainly
chem
concise
curves
despite
formulas
hands
higher
instructor
known
lecturers
lenient
low
manner
method
occasionally
offers
organic
pass
perspective
plus
policy
possibly
relatively
saying
sci
showed
speaks
start
structured
system
terms
texts
these
theyre
thoughtful
told
tons
using
views
whats
words
wouldnt
writes
written
Arabic
Awful
Be
Brilliant
Devigne
Does
HW
Hands
Material
Office
Orgo
Terrible
US
Wonderful
across
arbitrary
asleep
believe
between
break
complex
correct
encouraging
freshman
friend
future
hate
inspiring
manages
maybe
moves
night
opportunity
personally
plenty
poor
power
programming
provide
quality
responses
rude
section
several
social
studies
understandable
view
Boring
C
DO
Difficult
Easily
Nitecki
Probably
Reading
Swingle
Too
Weekly
Will
adorable
alright
annoying
asks
busy
calculus
case
change
chill
clarify
consider
deep
details
education
enjoys
explained
extensions
frequently
greatest
hardly
heard
hope
humorous
kept
lack
liberal
likely
memorization
morning
note
okay
oneonone
particularly
personality
phenomenal
place
politics
practical
presented
provided
quirky
rarely
seen
share
single
sort
speak
story
strong
term
themselves
valuable
via
w
Adler
After
BEWARE
Can
David
Decent
Edelman
GREAT
Grades
Grading
Harrington
Jack
LOVE
Literally
Mufti
Queen
Still
Thought
Winn
Woodin
barely
brought
cannot
career
changes
charismatic
criticism
dates
days
demanding
development
discussed
drafts
effective
encouraged
ends
energy
entirely
everyday
everyones
finals
grasp
guides
head
heavily
improved
info
inside
insightful
intense
issues
kids
kinda
later
meeting
mention
methods
minute
missed
obvious
personable
presentation
realize
relate
related
requires
respect
respected
s
speaker
struggle
survey
takehome
tested
together
unique
watch
whatever
whether
worse
Assignments
BEST
By
COMP
Chris
Clearly
Despite
Did
Downes
ES
EVERYTHING
Ennis
Fun
Hilarious
Horrible
John
Latin
Lecture
Oh
Psych
Stolow
Try
academic
afraid
ago
allowed
analysis
attending
blackboard
calc
campus
certain
comfortable
compared
concept
consisted
couldnt
couple
data
def
dumb
effectively
engineering
example
fault
figure
funniest
gem
harshly
heart
intellectual
introductory
knowing
laugh
leading
longer
luck
mainly
majoring
midterms
offer
organization
overwhelming
parts
per
pleasure
pointless
potential
pretentious
previous
provoking
psets
quiz
reads
resource
rest
scary
serious
sheet
solve
speaking
started
strongly
struggling
suggest
text
tried
type
unrelated
walk
wealth
within
AM
America
Cares
Chinese
Chip
Classes
Computer
Course
EVER
Engaging
Feldman
III
Learned
Lowhorn
Lurz
Organic
PROFESSOR
Philosophy
Roberts
Strong
Teaches
Truly
Tu
White
Work
advantage
allow
apply
arts
bunch
buy
call
choir
clarifying
code
count
current
curved
detailed
develop
direction
drop
energetic
environment
everybody
experiences
explanation
extensive
feels
foreign
forget
format
four
free
front
fully
hold
honest
including
individual
insight
inspirational
key
looks
lucky
meant
nearly
necessarily
pace
pick
plan
posted
process
rambling
received
relates
responds
ridiculous
screwed
shouldnt
strange
supposed
talented
tend
track
turned
videos
wait
war
warm
weird
witty
worked
wrote
Dewald
Didnt
East
Ec
Expect
Fairly
Goes
Hasselblatt
Homeworks
Hopwood
Is
James
Jamie
Made
Many
Midterm
Noah
Norman
Our
POP
Piazza
QUIZZES
Russian
Solid
Spanish
Test
Textbook
To
Without
addition
anyway
became
classmates
closely
companies
confident
confusion
considering
consistently
convey
criteria
critical
directly
disappointed
drag
dropped
easygoing
ego
fan
following
gotten
groups
guest
handwriting
inclass
incomprehensible
infectious
interests
joy
leads
leaves
leaving
lessons
letter
lives
main
mathematical
monotone
nicest
nor
ones
painfully
perfect
political
positive
posts
prompts
public
rambles
range
reach
reference
reflect
responsive
runs
sarcastic
scared
scattered
schedule
scholar
she
sleep
smartest
sociology
standard
stop
strict
stuck
subjects
talked
total
touch
turn
u
uncomfortable
understood
unfair
unfortunately
unnecessary
warned
wastes
writer
youd
young
Alberto
Alex
Attendance
Because
Beckley
Carleton
Chemistry
Cohen
Derby
Econ
Economics
Everyone
First
Fuchs
Fyler
GPA
Gregg
Guy
Guyer
HAVE
HIGHLY
Halligan
Jampel
Joseph
Kryatov
Like
Micro
Middle
Ming
More
Mr
OLeary
Other
Otherwise
Ozzy
Papers
Quite
Ramsey
Rosenberg
Sci
Science
Sliwa
Stay
Steve
Taking
Thomas
Uncle
Use
accommodating
adds
advanced
algebra
answered
applications
attitude
bearable
becomes
bother
breaks
bringing
captivating
challenged
chapters
character
chose
clips
conductor
constructive
control
covering
daily
daunting
decide
demonstrations
elective
emphasis
engineer
essentially
eye
facts
fail
feeling
films
forever
fulfill
god
guidance
havent
hearing
hed
her
historical
hit
im
inspired
instructions
invested
irrelevant
justice
keeping
laidback
lead
light
loud
lower
managed
mathematics
meaning
meaningful
middle
minimal
move
movie
obscure
overly
paced
peer
pg
philosophical
please
psychology
push
pushes
quick
raise
refreshing
relaxed
repetitive
rough
run
scores
site
special
spring
standards
support
supportive
taste
ten
terribly
thoughts
twice
unable
under
undergrad
upper
virtually
whenever
whos
women
workshop
yeah
ALL
Additionally
Africa
Auner
Bad
Caleb
Chudyk
Cool
Dan
Department
During
EE
EXTREMELY
Enjoyed
Everything
Evrigenis
Fusillo
Genuinely
Going
Greek
Greg
HIM
HIS
Hu
IS
IT
Ill
Instead
Japan
Japanese
Knowledgeable
Kumar
MC
MUST
Marrone
New
Noe
Once
Peter
Political
Pollina
Put
Recitation
Ridge
Sam
Seriously
Simply
Simpson
Since
Smart
Somewhat
Starks
Stiffler
Takes
Theory
Thinks
Three
Tracey
Ullman
University
Uses
WITH
Wang
Well
Wish
Yeah
Your
abilities
accounting
advise
adviser
alone
alternative
amazingly
amounts
appreciate
appreciated
ass
averages
basics
besides
beware
blast
broad
brutal
casual
cause
check
clarification
classic
cold
comment
conceptual
concern
consist
contagious
conversation
convinced
couldve
date
decided
depends
dept
deserves
differently
econometrics
encountered
encourage
engages
errors
essential
experiments
express
favorites
fiction
fill
finish
flipped
force
forgets
frustrated
further
game
glad
gold
gonna
guide
guidelines
hasnt
hated
hates
holds
imagine
importantly
improvement
intriguing
involvement
jazz
lacks
languages
laughing
led
letting
mans
marketing
mediocre
memorizing
memory
men
mentioned
min
missing
mistake
moment
money
musicians
nature
near
neither
normally
numbers
openminded
partial
paying
perhaps
period
pictures
pieces
playing
plays
pompous
ppl
program
proofs
realworld
receive
references
relations
religion
remotely
reputation
respond
response
rigorous
similar
skill
smaller
solely
songs
soon
spanish
stand
stopped
stress
studied
superb
surprised
surprisingly
testing
thanks
theories
thru
tool
types
typically
unreasonable
upon
various
video
website
wellbeing
worry
yes
zero
AND
AWESOME
BIO
Basically
Baz
Bio
Boghosian
Both
British
Chang
China
Couch
Could
Dave
Dehejia
Disorganized
Downing
Dry
Each
Entertaining
Europe
Final
Fulton
Gallagher
Give
God
Gonzalez
HARD
Hardest
Harvard
Hirsch
Hurka
Incredible
Kind
Learning
Listen
Matias
McNinch
Michael
North
OK
Obviously
Often
PHY
Participation
PhD
PowerPoint
PowerPoints
Prepare
REALLY
Radi
Read
Rome
Romero
THIS
Ted
Those
Tom
Totally
Tries
Turner
Two
Was
Went
Western
With
Workload
Wow
Writing
according
advance
against
ahead
ahold
alive
ambiguous
amusing
analyzing
anyways
archaeology
arguments
aspects
becoming
bio
boss
called
cats
challenges
chances
choose
clearest
communicate
comprehension
comprehensive
concrete
constant
contact
context
convoluted
corny
costs
coursework
creates
creativity
critique
curriculum
cute
deadlines
debate
delight
delivers
demands
describe
designed
diff
directions
discouraged
discussing
dislike
drawing
dynamic
eager
earlier
ease
educational
efficient
elsewhere
environmental
esp
events
exceptional
excitement
expecting
experienced
expert
exploring
fails
favor
feed
fell
finance
focuses
food
fosters
foundation
freedom
generously
gone
grad
graphs
handed
handle
happen
happened
highlight
hurt
ie
immediately
insanely
internship
intimidated
intuitive
jumps
lacking
line
lively
majority
master
mentor
mess
minor
mix
modern
motivated
mumbles
musical
nitpicky
nobody
non
none
nonscience
notetaking
notice
number
occasional
odd
opening
option
order
park
philosophers
phone
piazza
pleasant
poli
pop
post
prepares
presenting
productive
providing
quantitative
quit
randomly
rating
recommendations
refuses
relatable
relies
rely
sake
scale
scheme
self
session
shines
six
skipping
somehow
soo
sound
sounds
space
spoken
staying
structures
struggled
sucked
sucks
suggestions
telling
throw
thus
trick
tricks
unbelievable
unstructured
upbeat
vast
version
viewpoints
visual
wasted
wasting
watching
weak
welcoming
whose
wise
worthless
ANY
Akmehmet
Almost
Asia
Assigns
BU
Before
Big
Bosch
Brett
Brian
Completely
Crano
DONT
Dale
DeBold
Dhingra
Don
Egypt
Egyptian
Ekbladh
Encourages
Famous
Favorite
Freeden
Game
Gavin
George
Get
Gets
Given
Grade
Greece
Have
Hening
Hitchcock
How
IDs
Inouye
Julian
Keith
Kritzers
Labs
Law
Literature
Lopez
MCAT
ME
MFA
Macro
Malchow
Margalit
Matt
May
McClellan
Meh
Miller
Modern
Moves
Music
NEVER
Nothing
Occasionally
Okay
P
PSY
Perhaps
Peterson
Plenty
Possibly
Preis
Provides
Recitations
Ryan
SUPER
Shakespeare
Sheldons
Should
Simple
Social
Sociology
Takayoshi
Talloires
Thats
Total
Trials
Umarov
Unless
Usually
WILL
WORST
Wants
Zimmerman
abnormal
accordingly
additional
admirable
agreed
algorithms
allaround
among
analogies
analytical
anymore
applicable
application
applying
appropriate
arbitrarily
area
areas
asset
assign
assistance
assumes
astronomy
atmosphere
attempt
attempts
backwards
bear
beard
beat
beforehand
begin
beginners
beliefs
below
benefit
biochem
biology
biostats
bits
bitter
bizarre
block
brilliance
careful
carried
chalkboard
cheat
claims
clarifies
coffee
commitment
committed
communicating
compare
compassionate
complain
complaint
comprehend
confidence
confuse
connect
connected
connections
connects
considerate
consists
conversations
cookies
coolest
cost
counted
counts
crap
create
credits
cut
cuz
dad
decently
deeper
definitions
deserve
disagree
disaster
downtoearth
draft
dreaded
driven
eccentric
editing
engineers
eq
equation
excessive
exercises
exposed
extreme
falls
fix
flaw
foot
freakin
fulfilling
gain
games
genuine
google
gotta
guarantee
guess
guided
guys
heads
highest
hugely
hysterical
ideal
imagined
impressed
impression
improving
included
includes
industry
inequality
inherently
insane
intentionally
interpretation
introduction
intuition
issue
killer
kindest
law
lazy
lengthy
listens
loose
lose
matlab
matters
med
media
medieval
meetings
micro
minded
models
moderately
narratives
natural
naturally
negative
nervous
nonetheless
nonmajors
normal
offensive
onto
organizes
outstanding
overview
particular
passed
peoples
personalized
perspectives
picks
picky
piece
poetry
premed
prep
pressure
privilege
professional
prompt
proved
pull
puns
pushing
putting
race
ramble
rate
ratings
reasoning
reasons
receptive
regarding
relating
reminds
respectful
revisions
rocks
rudely
ruined
rules
sad
save
scales
semesters
senior
shame
sharing
showing
side
significantly
situation
skipped
smallest
solving
sommers
sooo
st
stands
steps
stressed
strictly
struggles
subjectively
substantial
suck
talent
tangent
technology
tenure
theorems
therefore
theyll
thoughtfully
tools
toward
tremendous
trips
turning
turns
undergraduate
underrated
undoubtedly
unfortunate
uninteresting
unlike
unnecessarily
unprepared
ur
visit
visiting
wake
walking
wears
whatsoever
wild
wit
worthwhile
writers
youtube
AFTER
AP
ARE
ASL
AT
AVOID
About
Afsar
Algebra
Algorithms
Americas
Ancient
Andy
Anthro
Anyone
Atherton
Avner
BAD
BME
Barch
Behavior
Bernheim
Beware
Bianconi
Black
Borgers
Braun
Brings
Bruce
Bs
Burns
Calculus
Cant
Carlos
Certainly
Charles
Chem
Clarity
Classics
CompSci
Confusing
Contemporary
Contrary
Cs
Culture
D
Daily
Debold
Deeply
Def
Denbys
Dennett
Discussions
Dull
Durant
EN
Ed
Edelmans
Environmental
Epstein
Eulogio
European
Exam
Explains
F
FOR
Fadis
Fall
Far
Film
Finance
Furthermore
Garman
Gasarian
Gil
Ginsburg
Glaser
Globalization
Graded
Group
HE
HUGE
HWs
Hague
Half
Hammer
Healy
Hill
Hirata
Hitchner
Hours
Human
INCREDIBLY
Inspiring
Intense
International
Italian
Jake
Jones
Josh
Keeps
Khary
LOVES
Lenient
Lewis
Likes
Linear
MATLAB
Martin
Matlab
McCann
McGrath
McPherson
Mike
Mosher
Murphy
Must
NO
NOTHING
Napier
Need
Nevertheless
Nicest
Nonetheless
Now
ON
OVER
Old
Open
Orians
Palou
Partha
Pay
Pennington
Performance
Personally
Policy
Politics
Pompous
Poor
Portney
Postmodernism
Powerpoint
Powerpoints
Probst
Proctors
Professors
Projects
Psets
Puts
Quinto
Quizzes
Rastegar
Relations
Ridiculously
Rodriguez
Rusty
STAY
Saigal
Scarlett
Schaffner
Scientist
Seems
Sexuality
Show
Sid
Slides
Slightly
Socratic
Speaks
Sport
Stephen
Study
Studying
Superb
Switala
TON
TOO
TV
Teacher
Tells
Terry
Thanks
Tim
Todd
Trimmer
Trunk
UC
Ullmans
Unclear
V
W
Wanderers
Wind
World
Xiaozhe
absences
absurd
accepted
access
ace
act
active
actively
adding
adequately
affects
aid
alltime
aloof
amazed
ancient
animated
anthropology
anybody
anywhere
apparent
appointments
appreciates
approached
approx
argument
arrogance
articulated
aside
aspect
assembly
assumptions
authority
authors
avg
backgrounds
beautiful
behavior
believes
beneficial
biased
biceps
biggest
bonus
boost
booze
box
breaking
breeze
bro
butt
calculation
candy
carefully
catch
caught
causing
changing
charming
chat
chinese
clever
coding
collected
color
commit
common
component
conceited
conclusions
conducting
confuses
connection
considered
considers
consuming
contain
continually
contribute
controversial
conveying
copy
corrects
cowboy
criticisms
critiquing
cutest
damn
dedication
delivery
demeanor
dependent
depending
derivations
design
desire
devigne
devote
devoted
difference
differential
dig
digestible
direct
disappointing
disappointment
discipline
disease
dismissive
dissent
distribution
double
downright
downside
downsides
dread
dream
drink
earn
ec
eichenberg
eight
emailed
emphasize
emphasizes
encounter
eng
enjoying
ensure
env
epi
equal
erratic
evidence
exceptionally
exist
explore
exposure
expressing
extended
eyes
face
family
fastpaced
favors
fear
fields
figuring
finally
financial
finds
finished
fired
firm
fit
fly
followed
form
formula
fundamentals
funky
geology
girls
goal
graders
graduating
grateful
grow
hadnt
halfway
hall
handouts
happier
health
held
horribly
hrs
humanities
hws
id
identity
ignore
immensely
imo
impact
implement
impress
impressive
improves
inclusive
inconsistent
incorporate
indication
initially
injustice
input
inspire
inspires
instructors
insulting
intellectually
intentions
interactive
international
intersting
intolerant
introduced
introducing
introlevel
itll
keys
kumar
laoshi
learners
learns
learnt
lectured
lectureheavy
leg
legend
lengths
lesser
lesson
levels
library
linear
list
live
living
lol
lousy
lovable
lovely
lowest
manage
mannerisms
manual
marks
mastery
match
message
meticulous
microeconomics
midnight
minds
mine
month
months
moral
motivation
mouth
mumble
musthave
narcissistic
needlessly
nicely
nightmare
nights
noises
nonlinear
nonsensical
offered
offtopic
oh
openended
opposing
opposite
organize
oriented
outrageous
overrated
packet
paid
pain
party
patronizing
pays
peers
penalize
perform
periods
physiology
picture
played
plug
plugging
pm
poems
polls
popular
powerful
praise
prefer
prelectures
present
problematic
progression
promise
properly
prove
proving
pursue
quiet
racial
ranging
rap
rare
reality
reasonably
recall
receiving
records
reevaluate
reflected
regardless
regular
relied
repeat
repeatedly
repeats
reply
request
respects
responded
retain
returned
reviewing
revising
reward
rewarded
rights
rock
safe
saved
scientific
score
scratch
screw
seeing
seemingly
sees
sends
sexuality
sharp
shell
sick
significant
simplifying
sincerely
situations
smile
snap
society
solutions
somewhere
sounded
sources
specifications
specifics
spoke
sports
stale
starts
statements
stick
stimulating
stresses
stressful
stubborn
subjective
succinct
supported
surprises
swears
sweater
systems
tackle
tad
talker
tape
tea
teenage
tendency
theoretical
thermo
third
thoughtprovoking
throws
tied
tiring
tobin
toes
tolerable
tone
torture
treats
tremendously
trip
trunk
tutor
typical
ultimately
unapproachable
unbelievably
uncle
unconventional
unfocused
uninformative
uninterested
university
unpredictable
unreasonably
value
verbose
versed
volume
waking
walked
walks
weekend
wellorganized
wellprepared
wellspoken
white
whom
willingness
wonderfully
workshops
yoga
yrs
<unk>
